job,firm,functional_area,type
Salesforce System Administrator,Genioo,Data Science ERP,Job
Deals | Forensic Accounting - Senior Manager,PwC,Forensic & Litigation,Job
"Director, Research Practice",Yonder Consulting,Strategy Management Project Management Data Science,Job
Director - ER&D Strategy & Transformation (Discrete/ Process industries),Capgemini Invent,Strategy Lean & Six Sigma,Job
"Senior Consultant, Mergers & Acquisitions",West Monroe,Mergers & Acquisitions,Job
Senior Consultant Treasury Technology,Zanders,Corporate Finance Finance,Job
Innovation Consultants: All levels,Ayming,Finance Data Science Software,Job
Technical Web Analyst,Digital Power,Digital,Job
Cyber Security Consultant,BearingPoint,Cyber Security,Job
Senior Project Manager - Life Sciences,Genioo,Project Management,Job
Consultant- Programme and Change Acceleration,Capgemini Invent,Change Management,Job
"MM-4797; Data Analyst, S&P",B2E Consulting,Data Science,Job
Data Engineer,Digital Power,Data Science,Job
"Tax Depreciation, Senior Consultant",FTI Consulting,Finance,Job
Manager | Portfolio & Programme Management | Advisory | Dublin/Cork,PwC,Management,Job
Accounts Receivable Specialist,Yonder Consulting,Finance General,Job
Cyber Security Analyst,ThreeTwoFour,Risk & Compliance Cyber Security IT Architecture,Job
Lead Technical Reviewer,PA Consulting,Unknown,Job
Business & Technology Consultant,Valcon,Process Management Cloud Agile,Job
Management Consultants: All levels,Ayming,Change Management,Job
Identitiy & Access Management Project Manager,ThreeTwoFour,Project Management ERPSoftware,Job
Business Development Director,Yonder Consulting,Sales Marketing,Job
Senior Python Specialist,Valcon,Software,Job
"Transactions Tax, Senior Director",FTI Consulting,Unknown,Job
Vice President Client Services - Life Sciences,Genioo,Strategy Management Sales,Job
Cyber Security Consultant | Cyber Consulting | Dublin or Cork,PwC,Cyber Security,Job
Manager/Senior Manager - Energy & Utilities - Programme Management & Project Controls,Capgemini Invent,Management,Job
Wireless Technology Intellectual Property (IP) Specialist,PA Consulting,Property Management IT Strategy,Job
MM-4810; Senior Professional Services / Consultancy Procurement Manager,B2E Consulting,Procurement,Job
"Associate Director, Research Practice",Yonder Consulting,Strategy Innovation Data Science,Job
Consultant / Senior Consultant - DevOps Architect - Business Technology (London/Manchester/Glasgow),Capgemini Invent,IT Strategy Software,Job
Consultant Business & Technology,Valcon,Process Management Agile,Job
GCP Cloud Engineer,PA Consulting,Cloud,Job
PH-4808; Platform Engineer - AWS & Terraform,B2E Consulting,Unknown,Job
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting",FTI Consulting,Unknown,Job
Supply Chain Manager - Advisory Consulting - Dublin,PwC,Supply Chain,Job
PH-4806; Senior Back End Developers,B2E Consulting,Unknown,Job
"Associate Director, Consulting Practice",Yonder Consulting,Strategy Sales,Job
Senior Director | Industrials & Special Situations | Strategic Communications,FTI Consulting,Unknown,Job
Senior Manager | Operational Excellence | Advisory | Dublin/Cork,PwC,Unknown,Job
Resource Co-ordinator,PA Consulting,Unknown,Job
Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow),Capgemini Invent,Cloud,Job
Senior DevOps Specialist,Valcon,Software,Job
Full Stack Engineer,PA Consulting,Unknown,Job
CyberArk Architect - Manager,PwC,Unknown,Job
Senior Director | Analytics | Strategic Communications | London,FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow),Capgemini Invent,Strategy Cloud,Job
"MM-4817; Business Analysts, Fixed Voice IMS & Mobile",B2E Consulting,Mobile & Apps,Job
Full Stack Engineer,PA Consulting,Unknown,Job
Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow),Capgemini Invent,Cloud,Job
"Senior Consultant, Managed Document Review | Technology",FTI Consulting,IT Strategy,Job
Cyber | Azure IAM architect - Senior Manager,PwC,Cyber Security,Job
Physicist - Defence & Security,PA Consulting,Cyber Security,Job
SAP Implementation Lead | Senior Manager | Technology Consulting | Advisory | Dublin/Cork,PwC,IT Strategy ERP,Job
Manager/Senior Manager - Energy & Utilities - Equipment & Asset Management Advisory,Capgemini Invent,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting,FTI Consulting,Unknown,Job
"Director, Export Controls & Sanctions | Forensic & Litigation Consulting",FTI Consulting,Forensic & Litigation,Job
SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork,PwC,IT Strategy ERP,Job
Manager/Senior Manager - Energy & Utilities - Digital Engineering (London/Manchester/Glasgow),Capgemini Invent,Digital,Job
Third Party Risk Management Consultant,PA Consulting,Management Risk & Compliance,Job
Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow),Capgemini Invent,Digital,Job
Technical Support Engineer | Technology,FTI Consulting,IT Strategy,Job
Solution Architect,PA Consulting,Unknown,Job
Finance Transformation - Senior Associate,PwC,Finance,Job
Senior Manager - Energy & Utilities - Transformation (Digital Strategy/Platform Architecture),Capgemini Invent,Unknown,Job
Finance Transformation - Manager,PwC,Finance,Job
Revenue Accountant | Finance & Accounting | Core Operations,FTI Consulting,Finance,Job
AWS Engineer,PA Consulting,Unknown,Job
Senior Revenue Accountant | Finance & Accounting | Core Operations,FTI Consulting,Finance,Job
Manager/Senior Manager - Energy & Utilities - Customer Experience (London/Manchester/Glasgow),Capgemini Invent,Unknown,Job
GCP-Cloud Architect,PA Consulting,Unknown,Job
Advisory Senior Manager | Portfolio and Programme Management | Dublin/Cork,PwC,Management,Job
Data Scientist,PA Consulting,Data Science,Job
Manager/Senior Manager - Energy & Utilities - Sector Transformation,Capgemini Invent,Unknown,Job
Consultant | Industrials & Special Situations | Strategic Communications,FTI Consulting,Unknown,Job
Financial Services Advisory | Senior Associate | Banking (Risk),PwC,Unknown,Job
AWS Alliance Manager,PA Consulting,Unknown,Job
Financial Services Advisory | Senior Associate | Banking (Digital Banking),PwC,Unknown,Job
Consultant / Senior Consultant - Digital Business Architect (London/Manchester/Glasgow),Capgemini Invent,Digital,Job
Team Assistant | Regional Leads | Core Operations,FTI Consulting,Unknown,Job
Service Designer - Digital Factory (London/Manchester/Glasgow),Capgemini Invent,Digital,Job
Software Engineer - C ++,PA Consulting,Software,Job
"Consultant - Valuations, Disputes and Arbitration | Energy |Economic and Financial Consulting",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
Financial Services Advisory | Manager | Banking (Risk),PwC,Unknown,Job
DevOps Engineer Consultant (London/Manchester/Glasgow),Capgemini Invent,Software,Job
Hardware Engineer,PA Consulting,Unknown,Job
Financial Services Advisory | Senior Associate | Banking (Retail Banking Operations),PwC,Unknown,Job
Benefits Advisor | Human Resources | Core Operations,FTI Consulting,Human Resources,Job
"Finance Associate - Accounts Payable, 12 month contract",PA Consulting,Finance,Job
Marketing Executive | Forensic & Litigation Consulting,FTI Consulting,Marketing Forensic & Litigation,Job
Financial Services Advisory | Manager | Banking (Transaction Enablement and Migration),PwC,Unknown,Job
Cloud Operating Model - Consultant / Senior Consultant (London/Manchester/Glasgow),Capgemini Invent,Cloud,Job
Financial Services Advisory | Manager | Banking (Corporate Banking Operations),PwC,Unknown,Job
Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow),Capgemini Invent,Strategy Cloud,Job
PR Manager,PA Consulting,Unknown,Job
"Executive Assistant, Business Transformation, London",FTI Consulting,Unknown,Job
"Director, Managed Document Review | Technology",FTI Consulting,IT Strategy,Job
Lead Software Engineer,PA Consulting,Software,Job
Advisory - Asset & Wealth Management - Senior Manager,PwC,Management,Job
Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow),Capgemini Invent,Cloud,Job
Dynamics 365 CRM Developer,PA Consulting,CRMSoftware,Job
Cloud Security Senior Manager | Cyber Advisory | Dublin or Cork,PwC,Cyber Security Cloud,Job
Manager/Senior Manager - Energy & Utilities - Water (London/Manchester/Glasgow),Capgemini Invent,Unknown,Job
EMEA Benefits Manager | Human Resources | Core Operations,FTI Consulting,Human Resources,Job
Manager/Senior Manager - Energy & Utilities - Water (Glasgow),Capgemini Invent,Unknown,Job
